dates;dgnp;unemp
1998;1,093012595;4,633333333
1998,25;0,885048782;4,4
1998,5;1,097491592;4,533333333
1998,75;1,627444323;4,433333333
1999;1,039762057;4,3
1999,25;0,814253842;4,266666667
1999,5;1,264017594;4,233333333
1999,75;1,779796932;4,066666667
2000;0,322242148;4,033333333
2000,25;1,83788605;3,933333333
2000,5;0,087354095;4
2000,75;0,854075397;3,9
2001;-0,423839532;4,233333333
2001,25;0,662810167;4,4
2001,5;-0,631424092;4,833333333
2001,75;0,86382992;5,5
2002;0,507881172;5,7
2002,25;0,42593526;5,833333333
2002,5;0,563370386;5,733333333
2002,75;0,289366524;5,866666667
2003;0,406906426;5,866666667
2003,25;0,960849111;6,133333333
2003,5;1,664792274;6,133333333
2003,75;1,353678099;5,833333333
2004;0,675575133;5,7
2004,25;0,538154259;5,6
2004,5;1,012898514;5,433333333
2004,75;0,773572505;5,433333333
2005;1,348205794;5,3
2005,25;0,35864017;5,1
2005,5;0,948019;4,966666667
2005,75;0,396035429;4,966666667
2006;1,324259871;4,733333333
2006,25;0,188429601;4,633333333
2006,5;0,054507795;4,633333333
2006,75;0,921303418;4,433333333
2007;0,245831318;4,5
2007,25;0,72104123;4,5
2007,5;0,927441389;4,666666667
2007,75;0,904644236;4,8
2008;-0,687527924;5
2008,25;0,526706435;5,333333333
2008,5;-0,424410681;6
2008,75;-2,692417808;6,866666667
2009;-1,050348735;8,266666667
2009,25;-0,157466393;9,3
2009,5;0,740341028;9,633333333
2009,75;1,020129469;9,933333333
2010;0,584811239;9,833333333
2010,25;0,910827608;9,633333333
2010,5;0,683462562;9,466666667
2010,75;0,586149025;9,5
2011;-0,169403091;9,033333333
2011,25;0,707148847;9,066666667
2011,5;0,126383439;9
2011,75;1,238692818;8,633333333
2012;0,665133848;8,266666667
2012,25;0,295669333;8,2
2012,5;0,131851278;8,033333333
2012,75;0,078095557;7,8
2013;0,803956425;7,733333333
2013,25;0,201925722;7,533333333
2013,5;0,842675954;7,233333333
2013,75;0,761176127;6,933333333
2014;-0,258311372;6,666666667
2014,25;1,278263498;6,2
2014,5;1,325919743;6,066666667
2014,75;0,378287313;5,7
2015;0,920952224;5,533333333
2015,25;0,602468352;5,433333333
2015,5;0,361912121;5,1
2015,75;0,265580435;5,033333333
2016;0,458170182;4,933333333
2016,25;0,323281115;4,9
2016,5;0,553432906;4,9
2016,75;0,880049591;4,766666667
2017;0,564914552;4,566666667
2017,25;0,36936465;4,366666667
2017,5;0,879428004;4,3
2017,75;1,036494537;4,133333333
2018;0,8576528;4,066666667
2018,25;0,536006562;3,933333333
2018,5;0,359695305;3,766666667
2018,75;0,379761135;3,8
2019;0,587993255;3,866666667
2019,25;0,473854053;3,633333333
2019,5;0,661912293;3,633333333
2019,75;0,578798744;3,533333333
2020;-1,432607007;3,833333333
